,bc,matdeath,teen,abuse,gdp,legis,healthspend,wifehealth,hushealth,bothhealth,eduspend,noschool,lit,bach
0,4.9,1100.0,153.8456,,,,,,,,,,,
1,,1050.0,150.0468,,119.899037112,,,,,,,,,
2,,996.0,146.248,,192.153528279,,0.550723349693,,,,,,,
3,10.3,941.0,140.4764,,203.651040923,,0.60790041145,,,,,,,
4,,881.0,134.7048,,224.914712193,,0.969458795307,,,,,,,
5,13.6,821.0,128.9332,,257.175794656,,0.801919174976,,,,,,,
6,18.6,776.0,123.1616,,280.245644107,,1.06242003296,,,,,,,
7,,724.0,117.39,,380.400955187,,0.522136074337,,,,,,,
8,22.8,676.0,111.4708,,384.131681277,,1.38558405017,,,,,,,
9,,631.0,105.5516,,458.955781586,,2.58612677662,,,,,,,
10,21.8,584.0,99.6324,,569.940728793,,2.85537650336,,,,4.51115989685,,,
11,21.2,536.0,93.7132,,622.379654358,,2.08009266048,,,,4.08791017532,,0.518967449665,
12,,496.0,87.794,,690.842629015,,2.92056600686,,,,3.12561988831,,,
13,,459.0,82.2638,,653.347488111,,2.65039388934,,,,4.54436016083,,,
14,,425.0,76.7336,,633.947864295,,2.93283372244,,,,4.80434989929,,,
15,57.5,43.0,19.273,,1175.78898073,,2.25841795816,,,,3.28692007065,,,
16,,40.0,19.254,,1326.97033929,,2.29222401883,,,,3.34060001373,1.51883,1.0012999773,7.42788
17,75.1,37.0,19.235,,1453.64277661,,2.25632589322,,,,3.05662989616,,,
18,,35.0,19.108,,1890.68155744,,2.25210415139,,,,3.06427001953,,,
19,,31.0,18.981,,2416.58823507,,2.67940487028,,,,3.17007994652,,,
20,60.1,30.0,18.854,,2709.14293056,,2.70645544321,,,,3.23871994019,,,
21,,29.0,18.727,,3005.01290338,,2.57513609221,,,,3.15719008446,,,
22,,30.0,18.6,,3603.01368537,,2.62917110006,,,,3.26868009567,,,
23,,30.0,19.0396,,4370.53964653,,2.69389845031,,,,,5.83063,1.0059299469,9.81624
24,69.3,30.0,19.4792,,4114.13654491,22.4663089842,2.83357574292,19.0,13.3,65.6,,,,
25,,30.0,19.9188,,4094.35883192,,2.47656802966,,,,,,,
26,,30.0,20.3584,,4437.81199903,,2.84917085993,,,,,3.84028,1.00126004219,1.45046
27,,30.0,20.798,,4247.83985202,,2.73570410002,,,,,3.95547,0.996420025826,0.56894
28,,29.0,21.1438,,4412.34557813,,2.8359842358,,,,3.53800010681,,,
29,,29.0,21.4896,,4588.64944015,,2.93637327546,,,,,,,
30,64.0,170.0,11.7556,,1757.01197444,,2.55856124047,,,,,,,
31,,164.0,10.7178,,1732.95851735,5.24343993807,2.97171746019,,,,,,,
32,57.0,158.0,9.68,,1774.2920208,,2.85227361029,,,,,,0.915759980679,
33,,153.0,9.6814,,2094.89330213,5.68596441256,2.80223702305,,,,,,,
34,,150.0,9.6828,,2600.00651973,4.8706240304,2.56624807223,,,,,,,
35,,148.0,9.6842,,3102.03738423,,2.28023307422,,,,,,,
36,61.4,147.0,9.6856,,3467.54474009,,2.33485067068,,,,,35.51225,0.94445002079,
37,,148.0,9.687,,3939.5599394,,2.70557079118,,,,,,,
38,,148.0,10.0358,,4912.25194082,,3.06280389314,,,,4.33701992035,35.36269,0.958150029182,7.97145
