,gdp,life,bc,healthspend,teen,matdeath,wifehealth,hushealth,bothhealth,eduspend,noschool,malenoschool,malelit,malesomeschool,femalelit,bach,fembach,abuse,legis
0,,55.1258780488,4.9,,153.8456,1100.0,,,,,,,,,,,,,
1,119.899037112,55.4875365854,,,150.0468,1050.0,,,,,,,,,,,,,
2,192.153528279,55.857195122,,0.550723349693,146.248,996.0,,,,,,,,,,,,,
3,203.651040923,56.2352926829,10.3,0.60790041145,140.4764,941.0,,,,,,,,,,,,,
4,224.914712193,56.6263170732,,0.969458795307,134.7048,881.0,,,,,,,,,,,,,
5,257.175794656,57.0272439024,13.6,0.801919174976,128.9332,821.0,,,,,,,,,,,,,
6,280.245644107,57.4325609756,18.6,1.06242003296,123.1616,776.0,,,,,,,,,,,,,
7,380.400955187,57.8338292683,,0.522136074337,117.39,724.0,,,,,,,,,,,,,
8,384.131681277,58.2250243902,22.8,1.38558405017,111.4708,676.0,,,,,,,,,,,,,
9,458.955781586,58.6036829268,,2.58612677662,105.5516,631.0,,,,,,,,,,,,,
10,569.940728793,58.9708292683,21.8,2.85537650336,99.6324,584.0,,,,4.51115989685,,,,,,,,,
11,622.379654358,59.3279512195,21.2,2.08009266048,93.7132,536.0,,,,4.08791017532,,,45.417098999,,17.6120624542,,,,
12,690.842629015,59.6796097561,,2.92056600686,87.794,496.0,,,,3.12561988831,,,,,,,,,
13,653.347488111,60.0282682927,,2.65039388934,82.2638,459.0,,,,4.54436016083,,,,,,,,,
14,633.947864295,60.3744634146,,2.93283372244,76.7336,425.0,,,,4.80434989929,,,,,,,,,
15,1175.78898073,74.2715365854,57.5,2.25841795816,19.273,43.0,,,,3.28692007065,,,,,,,,,
16,1326.97033929,74.7325609756,,2.29222401883,19.254,40.0,,,,3.34060001373,1.51883,0.86935,99.1876068115,80.57056,98.2522735596,7.42788,5.66423,,
17,1453.64277661,75.1546097561,75.1,2.25632589322,19.235,37.0,,,,3.05662989616,,,,,,,,,
18,1890.68155744,75.5232926829,,2.25210415139,19.108,35.0,,,,3.06427001953,,,,,,,,,
19,2416.58823507,75.8312195122,,2.67940487028,18.981,31.0,,,,3.17007994652,,,,,,,,,
20,2709.14293056,76.0816097561,60.1,2.70645544321,18.854,30.0,,,,3.23871994019,,,,,,,,,
21,3005.01290338,76.2861219512,,2.57513609221,18.727,29.0,,,,3.15719008446,,,,,,,,,
22,3603.01368537,76.4702926829,,2.62917110006,18.6,30.0,,,,3.26868009567,,,,,,,,,
